Age,Workclass,fnlwgt,Education,Education_Num,Martial_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,Hours_per_week,Country,Target,Target_predicted
41, Local-gov,103614.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States,1,0
35, Local-gov,179151.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,20.0, United-States,0,0
56, Self-emp-not-inc,177368.0, Some-college,10.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,50.0, United-States,1,0
25, Private,134232.0, Bachelors,13.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,20.0, United-States,0,0
20,,354351.0, Some-college,10.0, Never-married,, Own-child, White, Male,0.0,0.0,35.0, United-States,0,0
21, Private,449101.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
48, Private,158944.0, HS-grad,9.0, Widowed, Craft-repair, Not-in-family, White, Female,0.0,0.0,60.0, United-States,1,0
18, Private,116167.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,16.0, United-States,0,0
53, Private,208402.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, Other, Female,4865.0,0.0,45.0, Mexico,0,0
46, Private,315671.0, 7th-8th,4.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,30.0, United-States,0,0
26, Private,86483.0, 10th,6.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
49, Self-emp-not-inc,175958.0, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,20.0, United-States,0,0
27, Private,110663.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States,0,0
39, Private,112264.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,0,0
42, Private,171615.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,55.0, United-States,1,1
32, Private,153152.0, 10th,6.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,2051.0,38.0, United-States,0,0
19, Private,248730.0, Some-college,10.0, Never-married, Protective-serv, Own-child, White, Male,0.0,0.0,30.0, United-States,0,0
27, Private,165014.0, Some-college,10.0, Married-civ-spouse, Sales, Own-child, Other, Female,0.0,0.0,11.0, Mexico,0,0
37, Private,268598.0, 7th-8th,4.0, Married-civ-spouse, Craft-repair, Husband, Other, Male,0.0,0.0,40.0, United-States,0,0
25, Private,213799.0, Assoc-voc,11.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,35.0, United-States,0,0
22, Private,119742.0, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
32, Private,30433.0, Bachelors,13.0, Never-married, Tech-support, Other-relative, White, Female,0.0,0.0,72.0, United-States,0,0
47, Private,143050.0, Masters,14.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,50.0, United-States,0,1
29, Private,197222.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
25, Private,294406.0, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,30.0, United-States,0,0
62, Self-emp-inc,234738.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013.0,0.0,50.0, United-States,0,1
40, Local-gov,166822.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0.0,0.0,36.0, United-States,1,1
43, Private,171754.0, Assoc-acdm,12.0, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0.0,0.0,40.0,,0,0
44, Private,231793.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,52.0, United-States,0,0
54,,389182.0, HS-grad,9.0, Divorced,, Not-in-family, White, Female,0.0,0.0,60.0, Germany,0,0
55, Local-gov,85001.0, Masters,14.0, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0.0,0.0,38.0, United-States,0,0
40, Private,132222.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,0,1
68, Local-gov,254218.0, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,24.0, United-States,0,0
31, Private,63861.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,34.0, United-States,0,0
77, Private,89655.0, HS-grad,9.0, Widowed, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
30, Private,131415.0, Bachelors,13.0, Never-married, Priv-house-serv, Not-in-family, White, Female,0.0,0.0,60.0, United-States,0,0
20, Private,361138.0, HS-grad,9.0, Never-married, Sales, Unmarried, White, Male,0.0,0.0,45.0, United-States,0,0
18, Private,198368.0, 11th,7.0, Never-married, Other-service, Own-child, White, Male,594.0,0.0,10.0, United-States,0,0
69, Local-gov,216269.0, Assoc-acdm,12.0, Widowed, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,0,0
26, Private,156848.0, Bachelors,13.0, Never-married, Tech-support, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0,0
48, Private,168038.0, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,1564.0,50.0, United-States,1,0
64, Self-emp-inc,182158.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999.0,0.0,60.0, United-States,1,1
23, Private,126613.0, Bachelors,13.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,30.0, United-States,0,0
29, Self-emp-not-inc,239511.0, Some-college,10.0, Separated, Adm-clerical, Unmarried, White, Female,0.0,0.0,50.0, United-States,0,0
22, Private,174461.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0,0
